repo,file,issue_number,developers,topic_id,topic_name,topic_prob,topic_label,topic_category,topic_reason
ad12_DOSMA_issues,ad12_DOSMA_issues.json,139,gattia,27,27_tensorflow_keras_tf_py,1.0,TensorFlow & Keras (Python),AI,"The raw tokens ""tensorflow"", ""keras"", ""tf"", and ""py"" indicate Python-based deep learning frameworks/libraries used for building and training AI models. These signals point to AI model development rather than general software-engineering topics."
ad12_DOSMA_issues,ad12_DOSMA_issues.json,138,gattia,-1,-1_habitat_the_src_to,0.0,Habitat source code,SE,"I labeled it SE because the raw token ""src"" strongly signals source code/repository content and ""habitat"" likely names a software project or environment; together they indicate a software-engineering topic rather than a pure AI research topic."
ad12_DOSMA_issues,ad12_DOSMA_issues.json,136,gattia,35,35_attention_attentiongan_scheme_mask,0.13992542385206064,Attention mechanisms and AttentionGAN (masking schemes),AI,"The raw label contains signals like ""attention"", ""attentiongan"", ""scheme"", and ""mask"", which point to attention mechanisms and an AttentionGAN architecture/attention masking strategies in machine learning. These are core AI/ML concepts rather than software-engineering topics."
ad12_DOSMA_issues,ad12_DOSMA_issues.json,135,asch99,-1,-1_habitat_the_src_to,0.0,Habitat source code,SE,"I labeled it SE because the raw token ""src"" strongly signals source code/repository content and ""habitat"" likely names a software project or environment; together they indicate a software-engineering topic rather than a pure AI research topic."
ad12_DOSMA_issues,ad12_DOSMA_issues.json,133,"ad12, sluijs",-1,-1_habitat_the_src_to,0.0,Habitat source code,SE,"I labeled it SE because the raw token ""src"" strongly signals source code/repository content and ""habitat"" likely names a software project or environment; together they indicate a software-engineering topic rather than a pure AI research topic."
ad12_DOSMA_issues,ad12_DOSMA_issues.json,132,"EAlexWaters, sluijs",-1,-1_habitat_the_src_to,0.0,Habitat source code,SE,"I labeled it SE because the raw token ""src"" strongly signals source code/repository content and ""habitat"" likely names a software project or environment; together they indicate a software-engineering topic rather than a pure AI research topic."
ad12_DOSMA_issues,ad12_DOSMA_issues.json,127,gattia,-1,-1_habitat_the_src_to,0.0,Habitat source code,SE,"I labeled it SE because the raw token ""src"" strongly signals source code/repository content and ""habitat"" likely names a software project or environment; together they indicate a software-engineering topic rather than a pure AI research topic."
ad12_DOSMA_issues,ad12_DOSMA_issues.json,119,"ad12, gattia",-1,-1_habitat_the_src_to,0.0,Habitat source code,SE,"I labeled it SE because the raw token ""src"" strongly signals source code/repository content and ""habitat"" likely names a software project or environment; together they indicate a software-engineering topic rather than a pure AI research topic."
ad12_DOSMA_issues,ad12_DOSMA_issues.json,116,"ad12, barma7",-1,-1_habitat_the_src_to,0.0,Habitat source code,SE,"I labeled it SE because the raw token ""src"" strongly signals source code/repository content and ""habitat"" likely names a software project or environment; together they indicate a software-engineering topic rather than a pure AI research topic."
ad12_DOSMA_issues,ad12_DOSMA_issues.json,113,ad12,-1,-1_habitat_the_src_to,0.0,Habitat source code,SE,"I labeled it SE because the raw token ""src"" strongly signals source code/repository content and ""habitat"" likely names a software project or environment; together they indicate a software-engineering topic rather than a pure AI research topic."
ad12_DOSMA_issues,ad12_DOSMA_issues.json,111,"ad12, gattia",-1,-1_habitat_the_src_to,0.0,Habitat source code,SE,"I labeled it SE because the raw token ""src"" strongly signals source code/repository content and ""habitat"" likely names a software project or environment; together they indicate a software-engineering topic rather than a pure AI research topic."
ad12_DOSMA_issues,ad12_DOSMA_issues.json,106,ad12,27,27_tensorflow_keras_tf_py,1.0,TensorFlow & Keras (Python),AI,"The raw tokens ""tensorflow"", ""keras"", ""tf"", and ""py"" indicate Python-based deep learning frameworks/libraries used for building and training AI models. These signals point to AI model development rather than general software-engineering topics."
ad12_DOSMA_issues,ad12_DOSMA_issues.json,73,barma7,-1,-1_habitat_the_src_to,0.0,Habitat source code,SE,"I labeled it SE because the raw token ""src"" strongly signals source code/repository content and ""habitat"" likely names a software project or environment; together they indicate a software-engineering topic rather than a pure AI research topic."
ad12_DOSMA_issues,ad12_DOSMA_issues.json,57,ad12,-1,-1_habitat_the_src_to,0.0,Habitat source code,SE,"I labeled it SE because the raw token ""src"" strongly signals source code/repository content and ""habitat"" likely names a software project or environment; together they indicate a software-engineering topic rather than a pure AI research topic."
ad12_DOSMA_issues,ad12_DOSMA_issues.json,55,ad12,-1,-1_habitat_the_src_to,0.0,Habitat source code,SE,"I labeled it SE because the raw token ""src"" strongly signals source code/repository content and ""habitat"" likely names a software project or environment; together they indicate a software-engineering topic rather than a pure AI research topic."
